serial_no,reviewer_name,room_type,period_of_stay,traveler_type,review_score_numerator,review_score_denominator,review_score_description,review_date,review_text,extraction_timestamp,review_detected_lang,review_translated
260,P‍e‍n‍t‍a‍ ‍R‍i‍r‍i‍s‍ ‍L‍u‍b‍i‍s,,Stayed in December 2022,Family,10.0,/10,Outstanding,"Posted January 10, 2023","Very good hotel ,and expensive price 😀",2025-09-08 22:40:32,en,"Very good hotel ,and expensive price 😀"
261,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,,Stayed in February 2023,Couple,10.0,/10,Outstanding,"Posted February 14, 2023",Wonderful stay for 3 nights,2025-09-08 22:40:39,en,Wonderful stay for 3 nights
262,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in May 2023,Couple,10.0,/10,Outstanding,"Posted May 7, 2023",It's a perfect hotel,2025-09-08 22:40:40,en,It's a perfect hotel
263,C‍h‍e‍r‍r‍y‍ ‍P‍a‍c‍u‍n‍l‍a,,Stayed in September 2023,Business traveller,10.0,/10,Outstanding,"Posted September 24, 2023",All is good,2025-09-08 22:40:41,en,All is good
264,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in January 2024,Family,10.0,/10,Outstanding,"Posted February 4, 2024",great,2025-09-08 22:40:41,en,great
265,阿‍毛,,Stayed in October 2022,Family,9.5,/10,Amazing,"Posted October 17, 2022",No power sockets near the tv,2025-09-08 22:40:41,en,No power sockets near the tv
266,C‍Y‍8‍1,,Stayed in February 2023,Business traveller,10.0,/10,Outstanding,"Posted February 25, 2023",As good as usual,2025-09-08 22:40:43,en,As good as usual
267,l‍o‍n‍g‍k‍n‍o‍w,,Stayed in January 2023,Business traveller,10.0,/10,Outstanding,"Posted February 10, 2023",Beautiful hotel,2025-09-08 22:40:44,en,Beautiful hotel
268,D‍â‍v‍ë‍ ‍H‍K,,Stayed in October 2022,Business traveller,8.0,/10,Very Good,"Posted October 15, 2022",Location is good,2025-09-08 22:40:45,en,Location is good
269,J‍O‍H‍N,,Stayed in October 2022,Couple,10.0,/10,Outstanding,"Posted October 29, 2022",amazing,2025-09-08 22:40:46,en,amazing
270,m‍i‍m‍i‍:‍0‍0‍3,Sands Premier King City View,Stayed in August 2025,Couple,10.0,/10,Outstanding,"Posted August 26, 2025","The view from the rooftop pool is amazing! I had booked a city view room, but they didn't have it ready in time, so I changed it to a garden view. Being upgraded to a suite room made for a truly special experience. The garden view was also fantastic. The amenities were also excellent, so I highly recommend it. There are Japanese staff at the reception, although I'm not sure if they're always there.",2025-09-08 22:40:47,en,"The view from the rooftop pool is amazing! I had booked a city view room, but they didn't have it ready in time, so I changed it to a garden view. Being upgraded to a suite room made for a truly special experience. The garden view was also fantastic. The amenities were also excellent, so I highly recommend it. There are Japanese staff at the reception, although I'm not sure if they're always there."
271,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier Double Queen,Stayed in August 2025,Family,10.0,/10,Outstanding,"Posted August 23, 2025","This is a wonderful hotel.
I could feel the love from the staff everywhere.
It will be a memory that will last a lifetime.
It was a truly pleasant stay.

The room amenities were also top notch.
The rooftop pool was also great.
We had burgers by the pool and they were the best I've ever had - my family and I ordered three.

Life would be incomplete without a stay here.
I'll definitely come back.",2025-09-08 22:40:55,en,"This is a wonderful hotel.
I could feel the love from the staff everywhere.
It will be a memory that will last a lifetime.
It was a truly pleasant stay.

The room amenities were also top notch.
The rooftop pool was also great.
We had burgers by the pool and they were the best I've ever had - my family and I ordered three.

Life would be incomplete without a stay here.
I'll definitely come back."
272,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in August 2025,Couple,9.0,/10,Great,"Posted August 19, 2025","This was my second visit and it was a great trip. 
I think it would be better if there were outlets in the bathrooms!",2025-09-08 22:40:56,en,"This was my second visit and it was a great trip. 
I think it would be better if there were outlets in the bathrooms!"
273,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,Sands Premier Double Queen,Stayed in August 2025,Family,10.0,/10,Outstanding,"Posted August 18, 2025","My stay at Marina Bay Sands was an amazing experience. The hotel's exterior is awe-inspiring, but the moment I stepped inside, I was greeted with a sense of spaciousness and luxury, and I was excited to experience a special time.

The room was spacious and clean, and the windows offered a spectacular view of Singapore's cityscape and Marina Bay. The beauty of the night view was breathtaking, not only during the day but also at night—a truly luxurious experience you can only get here.

The highlight, however, was undoubtedly the rooftop infinity pool. The view from 200 meters above ground was breathtaking, and watching the sunset and night view while soaking in the pool was an unforgettable memory. The staff were also extremely attentive, and I felt at ease throughout my stay.

The hotel also has a wide selection of restaurants and shopping malls, so you could easily spend an entire day inside the hotel. If you're visiting Singapore, this is a one-of-a-kind hotel worth staying at at least once.",2025-09-08 22:40:56,en,"My stay at Marina Bay Sands was an amazing experience. The hotel's exterior is awe-inspiring, but the moment I stepped inside, I was greeted with a sense of spaciousness and luxury, and I was excited to experience a special time.

The room was spacious and clean, and the windows offered a spectacular view of Singapore's cityscape and Marina Bay. The beauty of the night view was breathtaking, not only during the day but also at night—a truly luxurious experience you can only get here.

The highlight, however, was undoubtedly the rooftop infinity pool. The view from 200 meters above ground was breathtaking, and watching the sunset and night view while soaking in the pool was an unforgettable memory. The staff were also extremely attentive, and I felt at ease throughout my stay.

The hotel also has a wide selection of restaurants and shopping malls, so you could easily spend an entire day inside the hotel. If you're visiting Singapore, this is a one-of-a-kind hotel worth staying at at least once."
274,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King City View,Stayed in August 2025,Other,9.5,/10,Amazing,"Posted August 29, 2025","The room was very elegant and beautiful. There was a pool on the roof, and I was able to swim under the blue sky for the first time in 30 years. It was a truly amazing experience, even for me.",2025-09-08 22:40:57,en,"The room was very elegant and beautiful. There was a pool on the roof, and I was able to swim under the blue sky for the first time in 30 years. It was a truly amazing experience, even for me."
275,こ‍ー‍す‍け‍く‍ん,Sands Premier King,Stayed in August 2025,Couple,10.0,/10,Outstanding,"Posted August 9, 2025",It was amazing! It was an extraordinary experience that will remain in my memory for the rest of my life.,2025-09-08 22:40:57,en,It was amazing! It was an extraordinary experience that will remain in my memory for the rest of my life.
276,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in August 2025,Couple,10.0,/10,Outstanding,"Posted August 8, 2025","The room service was fast and there was a Japanese staff member there, which made me feel at ease.",2025-09-08 22:40:57,en,"The room service was fast and there was a Japanese staff member there, which made me feel at ease."
277,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King City View,Stayed in August 2025,Couple,10.0,/10,Outstanding,"Posted August 24, 2025",The service was so good👍 I think I will remember it for the rest of my life👍👍,2025-09-08 22:40:57,en,The service was so good👍 I think I will remember it for the rest of my life👍👍
278,K‍a‍i‍g‍o,Sands Premier Double Queen City View Room,Stayed in July 2025,Family,10.0,/10,Outstanding,"Posted July 12, 2025","We stayed here as a family trip.
We had a wonderful time.
I think this is the ultimate hotel where everything is self-contained.",2025-09-08 22:40:57,en,"We stayed here as a family trip.
We had a wonderful time.
I think this is the ultimate hotel where everything is self-contained."
279,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier Double Queen City View Room,Stayed in August 2025,Family,10.0,/10,Outstanding,"Posted August 7, 2025",Beautiful views! Clean hotel and friendly staff. The price makes it all possible.,2025-09-08 22:40:58,en,Beautiful views! Clean hotel and friendly staff. The price makes it all possible.
280,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in July 2025,Business traveller,6.5,/10,,"Posted July 10, 2025","The hotel is over 6000 Hong Kong dollars a day, with low value for money. The room is very small and the road outside is noisy. The toiletries are of poor quality. The hotel is connected to a ** and restaurant, and the lobby is crowded and noisy. The hotel looks good from the outside but is just average inside. Not recommended.",2025-09-08 22:40:58,en,"The hotel is over 6000 Hong Kong dollars a day, with low value for money. The room is very small and the road outside is noisy. The toiletries are of poor quality. The hotel is connected to a ** and restaurant, and the lobby is crowded and noisy. The hotel looks good from the outside but is just average inside. Not recommended."
281,R‍U‍O‍H‍A‍N‍W‍U,Sands Premier Double Queen City View Room,Stayed in July 2025,Family,10.0,/10,Outstanding,"Posted July 6, 2025","This is the first time I checked in at a famous landmark in Singapore. Overall, it was quite good. It can be said that it meets all the needs of food, clothing, housing, transportation, education and entertainment. Adults and children are very happy! I highly recommend friends who have the opportunity to come to Singapore to experience it once!",2025-09-08 22:41:05,en,"This is the first time I checked in at a famous landmark in Singapore. Overall, it was quite good. It can be said that it meets all the needs of food, clothing, housing, transportation, education and entertainment. Adults and children are very happy! I highly recommend friends who have the opportunity to come to Singapore to experience it once!"
282,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King City View,Stayed in June 2025,Family,10.0,/10,Outstanding,"Posted July 8, 2025","The rooftop swimming pool is very good, the location is very convenient, the transportation is well connected, the hotel staff has a very good service attitude, I highly appreciate it, the room facilities are very good,",2025-09-08 22:41:06,en,"The rooftop swimming pool is very good, the location is very convenient, the transportation is well connected, the hotel staff has a very good service attitude, I highly appreciate it, the room facilities are very good,"
283,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier Double Queen,Stayed in June 2025,Couple,10.0,/10,Outstanding,"Posted June 24, 2025","The rooms are spacious and the amenities are great.
The best thing is the infinity pool that is only available to guests!
However, it is a big hotel so it is a bit cluttered, but that can't be helped.",2025-09-08 22:41:06,en,"The rooms are spacious and the amenities are great.
The best thing is the infinity pool that is only available to guests!
However, it is a big hotel so it is a bit cluttered, but that can't be helped."
284,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King City View,Stayed in June 2025,Couple,10.0,/10,Outstanding,"Posted June 15, 2025","We visited for our honeymoon~^^
The staff were all friendly and the infinity pool was great.
I want to come back again!!",2025-09-08 22:41:06,en,"We visited for our honeymoon~^^
The staff were all friendly and the infinity pool was great.
I want to come back again!!"
285,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King Gardens By The Bay View,Stayed in June 2025,Family,10.0,/10,Outstanding,"Posted June 7, 2025","I have never been to such a nice hotel in my life.

You can see that even the smallest details in the facilities

are so thoughtful, and it was a 2-day, 1-night stay that made me understand why this is a hotel you absolutely must visit.",2025-09-08 22:41:06,en,"I have never been to such a nice hotel in my life.

You can see that even the smallest details in the facilities

are so thoughtful, and it was a 2-day, 1-night stay that made me understand why this is a hotel you absolutely must visit."
286,S‍t‍r‍a‍n‍n‍i‍k‍ ‍T‍o‍m‍m‍i,Sands Premier Double Queen Gardens By The Bay View,Stayed in June 2025,Couple,10.0,/10,Outstanding,"Posted June 5, 2025","Fast check-in at the hotel reception, $200 deposit, free swimming pool, two restaurants with breakfasts, one on the 57th floor, the second in the lobby, everything in the room is automated, when you open the room, the light turns on and the curtains open, the room has all the possible amenities, wireless charging, coffee machine, tea factory, water, bar and possible and impossible bonuses, no channels in Russian, the hotel surprised.",2025-09-08 22:41:08,en,"Fast check-in at the hotel reception, $200 deposit, free swimming pool, two restaurants with breakfasts, one on the 57th floor, the second in the lobby, everything in the room is automated, when you open the room, the light turns on and the curtains open, the room has all the possible amenities, wireless charging, coffee machine, tea factory, water, bar and possible and impossible bonuses, no channels in Russian, the hotel surprised."
287,I‍d‍y‍L‍i,Sands Premier King Gardens By The Bay View,Stayed in June 2025,Couple,9.5,/10,Amazing,"Posted June 6, 2025","The houses are oversized, and have a very comfortable terrace, the scenery outside is beautiful, and you can watch the lights show in the evening.
The staff was friendly and bumped in the hallway often asking if we needed it. When checking in the staff knew someone had a birthday and sent a small cake in the evening, thank you.
The swimming pool is on 57/F, which is great for checking in.",2025-09-08 22:41:09,en,"The houses are oversized, and have a very comfortable terrace, the scenery outside is beautiful, and you can watch the lights show in the evening.
The staff was friendly and bumped in the hallway often asking if we needed it. When checking in the staff knew someone had a birthday and sent a small cake in the evening, thank you.
The swimming pool is on 57/F, which is great for checking in."
288,L‍u‍s‍a‍k‍i,Sands Premier Double Queen Gardens By The Bay View,Stayed in May 2025,Travelling with friends,10.0,/10,Outstanding,"Posted May 27, 2025","Very good hotel, very lucky, the hotel helped us upgrade the room, the view is very good, the space is very large.
Spent a wonderful day, the rooftop infinity pool, the photos taken in the morning and evening are very beautiful, very satisfied with this stay!
Next time I come to Singapore, I will choose to stay at the Marina Bay Sands!",2025-09-08 22:41:10,en,"Very good hotel, very lucky, the hotel helped us upgrade the room, the view is very good, the space is very large.
Spent a wonderful day, the rooftop infinity pool, the photos taken in the morning and evening are very beautiful, very satisfied with this stay!
Next time I come to Singapore, I will choose to stay at the Marina Bay Sands!"
289,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in May 2025,Booked for others,10.0,/10,Outstanding,"Posted May 19, 2025",A very good hotel. The environment and service are very good in all aspects. The customer experience is very good. The surrounding facilities are also very good. The waiters are also very polite. It is really great.,2025-09-08 22:41:11,en,A very good hotel. The environment and service are very good in all aspects. The customer experience is very good. The surrounding facilities are also very good. The waiters are also very polite. It is really great.
290,P‍a‍v‍e‍l,Sands Premier King,Stayed in May 2025,Couple,10.0,/10,Outstanding,"Posted May 18, 2025","Checked in 3 hours early. The hotel is beyond praise. The rooms are new, modern in design, spacious. The pool is gorgeous. Service is 5+. 
The only downside: a queue for breakfast at the buffet, but the breakfast is worth it. The choice is huge (yogurts, cheeses, nuts, fruits, berries, Japanese cuisine, Indian cuisine, sweet table, freshly squeezed juices) You just won't be able to try everything.",2025-09-08 22:41:11,en,"Checked in 3 hours early. The hotel is beyond praise. The rooms are new, modern in design, spacious. The pool is gorgeous. Service is 5+. 
The only downside: a queue for breakfast at the buffet, but the breakfast is worth it. The choice is huge (yogurts, cheeses, nuts, fruits, berries, Japanese cuisine, Indian cuisine, sweet table, freshly squeezed juices) You just won't be able to try everything."
291,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier Double Queen Gardens By The Bay View,Stayed in May 2025,Family,10.0,/10,Outstanding,"Posted May 14, 2025","I had a truly special experience staying at Marina Bay Sands. The view from the infinity pool was spectacular, and the night view shone like a jewel. The room was spacious and comfortable, and the staff were very polite. I had a luxurious time. It's a hotel I'd definitely like to stay at again.",2025-09-08 22:41:19,en,"I had a truly special experience staying at Marina Bay Sands. The view from the infinity pool was spectacular, and the night view shone like a jewel. The room was spacious and comfortable, and the staff were very polite. I had a luxurious time. It's a hotel I'd definitely like to stay at again."
292,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King Gardens By The Bay View,Stayed in May 2025,Solo traveller,10.0,/10,Outstanding,"Posted May 20, 2025","The hotel service, check-in experience, and decoration are all good. The price is completely worth it, but I hope the rooftop pool can separate the guests from the individual guests. Some individual guests went directly into the pool without wearing swimsuits or taking showers. I went down for about five minutes and came back with several ulcers on my body. The breakfast area in the hotel is also very small, and there are many people. Every time I go there, I have to queue up, and there are no stools to sit on. I am not satisfied with this service. The gym is also outside the hotel and is relatively small. This is controversial. The hotel room is good. Satisfied.",2025-09-08 22:41:19,en,"The hotel service, check-in experience, and decoration are all good. The price is completely worth it, but I hope the rooftop pool can separate the guests from the individual guests. Some individual guests went directly into the pool without wearing swimsuits or taking showers. I went down for about five minutes and came back with several ulcers on my body. The breakfast area in the hotel is also very small, and there are many people. Every time I go there, I have to queue up, and there are no stools to sit on. I am not satisfied with this service. The gym is also outside the hotel and is relatively small. This is controversial. The hotel room is good. Satisfied."
293,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in June 2025,Travelling with friends,10.0,/10,Outstanding,"Posted July 1, 2025",The rooms were clean and the pool was amazing. The service was also great.,2025-09-08 22:41:20,en,The rooms were clean and the pool was amazing. The service was also great.
294,C‍o‍r‍r‍e‍a‍j‍c,Sands Premier King,Stayed in May 2025,Solo traveller,10.0,/10,Outstanding,"Posted May 12, 2025","Impeccable, a top 10 worldwide without a doubt, attention, kindness, everything corresponds to what you pay, one of the best you can find in Asia, super well connected",2025-09-08 22:41:20,en,"Impeccable, a top 10 worldwide without a doubt, attention, kindness, everything corresponds to what you pay, one of the best you can find in Asia, super well connected"
295,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in May 2025,Business traveller,10.0,/10,Outstanding,"Posted May 4, 2025",The advanced facilities and clean environment make you linger and forget to leave. It is a must-see attraction and the first choice for accommodation next time you come to Singapore.,2025-09-08 22:41:20,en,The advanced facilities and clean environment make you linger and forget to leave. It is a must-see attraction and the first choice for accommodation next time you come to Singapore.
296,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in May 2025,Couple,10.0,/10,Outstanding,"Posted May 8, 2025",I was upgraded to a nice room when I checked in. I'm grateful. The breakfast was also very good.,2025-09-08 22:41:20,en,I was upgraded to a nice room when I checked in. I'm grateful. The breakfast was also very good.
297,М‍и‍с‍т‍е‍р‍ ‍М‍а‍к‍с‍и‍м,Sands Premier King,Stayed in April 2025,Family,10.0,/10,Outstanding,"Posted April 29, 2025","Great hotel! Check-in from 15:00, we were checked in a little earlier, for which special thanks. The room was on the 23rd floor with a beautiful view. The room is gorgeous! A huge number of bonus gadgets. The pool on the roof is the best. We were from Sunday to Monday, there were a minimum of people. Lots of photos without strangers. Next time we will definitely come back!",2025-09-08 22:41:20,en,"Great hotel! Check-in from 15:00, we were checked in a little earlier, for which special thanks. The room was on the 23rd floor with a beautiful view. The room is gorgeous! A huge number of bonus gadgets. The pool on the roof is the best. We were from Sunday to Monday, there were a minimum of people. Lots of photos without strangers. Next time we will definitely come back!"
298,H‍e‍l‍e‍n‍G‍u‍s‍e‍v‍a,Sands Premier King,Stayed in May 2025,Family,10.0,/10,Outstanding,"Posted May 26, 2025",Incredible hotel! Everything about it is perfect! No flaws! Everything is top notch!,2025-09-08 22:41:21,en,Incredible hotel! Everything about it is perfect! No flaws! Everything is top notch!
299,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in April 2025,Family,10.0,/10,Outstanding,"Posted May 3, 2025","Expensive. But if you are in Singapore, you must visit this hotel. The pool is on the 57th floor and the view from above is enchanting. Fabulous in the evening.",2025-09-08 22:41:22,en,"Expensive. But if you are in Singapore, you must visit this hotel. The pool is on the 57th floor and the view from above is enchanting. Fabulous in the evening."
300,N‍a‍n‍j‍u‍n‍g,Sands Premier King City View,Stayed in April 2025,Couple,10.0,/10,Outstanding,"Posted April 23, 2025",Very impressed with the accommodation. The staff were lovely and even brought a cake for me because it was my husband's birthday. The room was very clean and the location was good. There was a variety of breakfast and it was close to shopping areas. I felt like I was really relaxing.,2025-09-08 22:41:22,en,Very impressed with the accommodation. The staff were lovely and even brought a cake for me because it was my husband's birthday. The room was very clean and the location was good. There was a variety of breakfast and it was close to shopping areas. I felt like I was really relaxing.
301,N‍A‍ ‍L‍A,Sands Family Suite,Stayed in April 2025,Family,10.0,/10,Outstanding,"Posted April 20, 2025","Room type: Family Suite
Price: A bit expensive, but the service and room reflect that.
Free car: Yes, you need to send an email to book it, but the hotel also takes the initiative to contact us via WhatsApp
Arrival at the hotel: There is someone to pick you up to check in and take you to your room, which makes you feel at home.
View: Excellent, overlooking the Gardens by the Bay
Room: Very good, except for the small bunk beds, other places are very big, and there is a big terrace.
Room facilities: There are washing machines and cooking supplies, very convenient
Hotel staff service: Very good. Every time I go out, I will see the cleaning staff asking if I need to clean the room or add supplies.
A special compliment: The hotel is very considerate and provides biscuits, pastes and juices for young children, which are also free.
Satisfaction level: Very satisfied",2025-09-08 22:41:28,en,"Room type: Family Suite
Price: A bit expensive, but the service and room reflect that.
Free car: Yes, you need to send an email to book it, but the hotel also takes the initiative to contact us via WhatsApp
Arrival at the hotel: There is someone to pick you up to check in and take you to your room, which makes you feel at home.
View: Excellent, overlooking the Gardens by the Bay
Room: Very good, except for the small bunk beds, other places are very big, and there is a big terrace.
Room facilities: There are washing machines and cooking supplies, very convenient
Hotel staff service: Very good. Every time I go out, I will see the cleaning staff asking if I need to clean the room or add supplies.
A special compliment: The hotel is very considerate and provides biscuits, pastes and juices for young children, which are also free.
Satisfaction level: Very satisfied"
302,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King City View,Stayed in April 2025,Solo traveller,10.0,/10,Outstanding,"Posted April 15, 2025","Phenomenal!
Room really equipped with everything!
All luxurious, super clean, spacious, and great view
Sky deck with fantastic view over Singapore, lovely pool
Fantastic food
Super friendly staff
Recommended",2025-09-08 22:41:29,en,"Phenomenal!
Room really equipped with everything!
All luxurious, super clean, spacious, and great view
Sky deck with fantastic view over Singapore, lovely pool
Fantastic food
Super friendly staff
Recommended"
303,か‍な‍ー‍ー‍る,Sands Premier King City View,Stayed in April 2025,Couple,10.0,/10,Outstanding,"Posted June 30, 2025","The view from the pool was amazing, and I was very satisfied with the hotel.
There was also shopping and ***, so I was able to spend my time there without getting bored.",2025-09-08 22:41:30,en,"The view from the pool was amazing, and I was very satisfied with the hotel.
There was also shopping and ***, so I was able to spend my time there without getting bored."
304,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier Double Queen Gardens By The Bay View,Stayed in March 2025,Family,10.0,/10,Outstanding,"Posted May 4, 2025","Luxurious and crowded hotel. Convenient to stay for one or two nights. Panoramic pool on the roof with views of Singapore. From the hotel you can get to the park, the museum and the shopping center. You can watch the evening show right from your room, going out onto the balcony.",2025-09-08 22:41:30,en,"Luxurious and crowded hotel. Convenient to stay for one or two nights. Panoramic pool on the roof with views of Singapore. From the hotel you can get to the park, the museum and the shopping center. You can watch the evening show right from your room, going out onto the balcony."
305,J‍U‍N‍K‍O,Sands Premier Double Queen Gardens By The Bay View,Stayed in March 2025,Business traveller,10.0,/10,Outstanding,"Posted March 24, 2025","I visited here a few years ago, and it was still as lively and bustling as ever. When you stay here, you feel like you've really come to Singapore, and you feel happy. I think it's a one-of-a-kind hotel. The food at the rooftop bar on the top floor was also amazing. The cake was taller than my hand, so I couldn't help but take a picture.",2025-09-08 22:41:31,en,"I visited here a few years ago, and it was still as lively and bustling as ever. When you stay here, you feel like you've really come to Singapore, and you feel happy. I think it's a one-of-a-kind hotel. The food at the rooftop bar on the top floor was also amazing. The cake was taller than my hand, so I couldn't help but take a picture."
306,海‍人‍宝,Sands Premier Double Queen City View Room,Stayed in March 2025,Family,9.5,/10,Amazing,"Posted March 19, 2025",I think the reason I came to Singapore was to visit Marina Bay Sands. It was a great experience. The infinity pool on the rooftop was amazing. You can also see the night view of Marina Bay and Gardens by the Bay from the rooftop. The laksa at breakfast was delicious and the fruit was very fresh. It was a really great experience.,2025-09-08 22:41:32,en,I think the reason I came to Singapore was to visit Marina Bay Sands. It was a great experience. The infinity pool on the rooftop was amazing. You can also see the night view of Marina Bay and Gardens by the Bay from the rooftop. The laksa at breakfast was delicious and the fruit was very fresh. It was a really great experience.
307,T‍O‍M‍O‍K‍O,Sands Family Suite,Stayed in March 2025,Family,10.0,/10,Outstanding,"Posted March 22, 2025","It was a very nice hotel. It was the best of all the hotels I've stayed at so far.

In the room, there is a mixture of free things and things to purchase. You pay a deposit when you check in and pay when you check out. They ask you what you used.

For the free things, there is a message saying to use them, and there are no prices written. For things to purchase, you can find a price list nearby if you look. The alcohol in the photo is charged for. The wine on the table was a gift and was free.",2025-09-08 22:41:33,en,"It was a very nice hotel. It was the best of all the hotels I've stayed at so far.

In the room, there is a mixture of free things and things to purchase. You pay a deposit when you check in and pay when you check out. They ask you what you used.

For the free things, there is a message saying to use them, and there are no prices written. For things to purchase, you can find a price list nearby if you look. The alcohol in the photo is charged for. The wine on the table was a gift and was free."
308,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King City View,Stayed in May 2025,Business traveller,10.0,/10,Outstanding,"Posted May 23, 2025",The view is very good. I will stay in Jinsha next time.,2025-09-08 22:41:34,en,The view is very good. I will stay in Jinsha next time.
309,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in March 2025,Travelling with friends,6.5,/10,,"Posted March 17, 2025","My luggage was damaged during early check-in...
They said they would deliver it to my room if I paid for it, but it didn't arrive when check-out time came, so I inquired and they said, ""They understand that you're checking out tomorrow.""...
No one knew what was going on, so I ended up being late for my next appointment.
I don't feel like they compensated me enough.
No one would want to stay at a hotel with a great view for a high price, but terrible hospitality...
By the way, the only apology they gave was for the delay in responding, and there was no apology at all for breaking my personal belongings in the first place.
Should I have just assumed that it was inevitable that things would get broken if I left them behind?",2025-09-08 22:41:34,en,"My luggage was damaged during early check-in...
They said they would deliver it to my room if I paid for it, but it didn't arrive when check-out time came, so I inquired and they said, ""They understand that you're checking out tomorrow.""...
No one knew what was going on, so I ended up being late for my next appointment.
I don't feel like they compensated me enough.
No one would want to stay at a hotel with a great view for a high price, but terrible hospitality...
By the way, the only apology they gave was for the delay in responding, and there was no apology at all for breaking my personal belongings in the first place.
Should I have just assumed that it was inevitable that things would get broken if I left them behind?"
310,T‍a‍m,Sands Premier Double Queen Gardens By The Bay View,Stayed in March 2025,Family,10.0,/10,Outstanding,"Posted March 15, 2025","The coolest location, we arrived early and they gave us cards to spend time at the pool before check-in and they checked us in before three 😀 everything is very clean, beautiful 😻",2025-09-08 22:41:35,en,"The coolest location, we arrived early and they gave us cards to spend time at the pool before check-in and they checked us in before three 😀 everything is very clean, beautiful 😻"
311,C‍H‍I‍H‍A‍R‍U,Sands Premier King Gardens By The Bay View,Stayed in March 2025,Family,10.0,/10,Outstanding,"Posted March 11, 2025","The room I had reserved was upgraded, and the breakfast, high tea, and cocktail time were all fantastic, but even more so, the hospitality of the hotel staff was fantastic.

The room was very comfortable, with plenty of amenities, and the food was also excellent.

I would highly recommend this stay, as you will get service and time that exceeds the price.",2025-09-08 22:41:42,en,"The room I had reserved was upgraded, and the breakfast, high tea, and cocktail time were all fantastic, but even more so, the hospitality of the hotel staff was fantastic.

The room was very comfortable, with plenty of amenities, and the food was also excellent.

I would highly recommend this stay, as you will get service and time that exceeds the price."
312,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier Double Queen,Stayed in June 2025,Family,10.0,/10,Outstanding,"Posted July 3, 2025",I had a wonderful time. Happy!,2025-09-08 22:41:43,en,I had a wonderful time. Happy!
313,J‍A‍E‍H‍U‍N,Sands Premier King,Stayed in September 2025,Family,10.0,/10,Outstanding,"Posted September 6, 2025","The Marina Bay Sands Hotel, a symbol of Singapore, is really nice and spacious. The pool, which is exclusively for guests, is very spacious and beautiful both during the day and at night.",2025-09-08 22:41:43,en,"The Marina Bay Sands Hotel, a symbol of Singapore, is really nice and spacious. The pool, which is exclusively for guests, is very spacious and beautiful both during the day and at night."
314,У‍л‍ь‍я‍н‍к‍а,Sands Premier King Gardens By The Bay View,Stayed in March 2025,Couple,10.0,/10,Outstanding,"Posted March 28, 2025","Everything was great! From meeting at the taxi to leaving. We were upgraded to a higher floor!!! The room and view were gorgeous! We enjoyed the services and the hotel immensely!!! We will come again! Sincerely, guests from Siberia.",2025-09-08 22:41:43,en,"Everything was great! From meeting at the taxi to leaving. We were upgraded to a higher floor!!! The room and view were gorgeous! We enjoyed the services and the hotel immensely!!! We will come again! Sincerely, guests from Siberia."
