reviewer_name,rating,review_text,date,review_source,extraction_timestamp,review_detected_lang,review_translated
Krish,4/5,"Okay if you stay here then it's a different story
But as a visitor u cant sit anywhere there at the basement bcoz only few seats available and it's a hotel with few restaurants and infinity pool if at all your just gonna visit there is nothing to view than garden bay view and restaurant and view from top , other than that it's a hotel 🏨","4 months ago on
Google",Google,2025-09-13 10:29:25,en,"Okay if you stay here then it's a different story
But as a visitor u cant sit anywhere there at the basement bcoz only few seats available and it's a hotel with few restaurants and infinity pool if at all your just gonna visit there is nothing to view than garden bay view and restaurant and view from top , other than that it's a hotel 🏨"
Rayees Ahmed Shaikh,4/5,It was my 1 day visit to marina bay sands and it cost me around 200 Singapore $ for sightseeing which include a return taxi fare from & to Changi airport and lunch for 3 persons. If you have sufficient layover at Singapore then you can explore many places in 1 day if you have Singapore visa.,"6 months ago on
Google",Google,2025-09-13 10:29:31,en,It was my 1 day visit to marina bay sands and it cost me around 200 Singapore $ for sightseeing which include a return taxi fare from & to Changi airport and lunch for 3 persons. If you have sufficient layover at Singapore then you can explore many places in 1 day if you have Singapore visa.
Rotimi Aina,5/5,"Watching the water and light show was amazing 👏🏽
We didn't stay in the hotel.","2 months ago on
Google",Google,2025-09-13 10:29:31,en,"Watching the water and light show was amazing 👏🏽
We didn't stay in the hotel."
Mus,5/5,"OVER CROWDED, check in too slow (only good things is room is always ready so can check in earliest possible) , everyday regardless weekend , weekdays , Public Holidays, we arrived SUNDAY is the worst day crowded not just tourists, but those off on Sundays","Edited 5 months ago on
Google",Google,2025-09-13 10:29:38,en,"OVER CROWDED, check in too slow (only good things is room is always ready so can check in earliest possible) , everyday regardless weekend , weekdays , Public Holidays, we arrived SUNDAY is the worst day crowded not just tourists, but those off on Sundays"
Teresa Benedict,5/5,"Went to the roof top.
For sun set. Was surprised they allowed us to stay for a couple of hours. Price is reasonable.","5 months ago on
Google",Google,2025-09-13 10:29:44,en,"Went to the roof top.
For sun set. Was surprised they allowed us to stay for a couple of hours. Price is reasonable."
Wanda Simpson,1/5,"Skydeck experience a waste of time, herded like cattle, spoken to like sheep and appreciate the weather can't be controlled but no recompense offered.  First and last visit.","4 months ago on
Google",Google,2025-09-13 10:29:50,en,"Skydeck experience a waste of time, herded like cattle, spoken to like sheep and appreciate the weather can't be controlled but no recompense offered.  First and last visit."
Trip.com Member,5/5,Very suitable for couples and families. Good service from staff and nice view from the room. Comfortable bed.,"3 months ago on
Trip.com",Trip.com,2025-09-13 10:29:51,en,Very suitable for couples and families. Good service from staff and nice view from the room. Comfortable bed.
Chris S.,5/5,"Nice area and spot for viewing Marina bay. A bit crowded and kids with families too, but worth the visit.","3 weeks ago on
Google",Google,2025-09-13 10:29:51,en,"Nice area and spot for viewing Marina bay. A bit crowded and kids with families too, but worth the visit."
Ash Aegis,5/5,The room was amazing spacious and well appointed.  The location next to the Gardens and subway was perfect.,"4 months ago on
Google",Google,2025-09-13 10:29:57,en,The room was amazing spacious and well appointed.  The location next to the Gardens and subway was perfect.
Nana Choo,5/5,Tourist to go spot. Nice location to catch fireworks during new year and ndp.,"2 months ago on
Google",Google,2025-09-13 10:30:03,en,Tourist to go spot. Nice location to catch fireworks during new year and ndp.
SH Fong Mike,5/5,"Visit MBS during the night
daily to watch the Musical
Fountain Display, you can …","5 months ago on
Google",Google,2025-09-13 10:30:09,en,"Visit MBS during the night
daily to watch the Musical
Fountain Display, you can …"
Nathan Roberts (Nate),2/5,Avoid the casino. There are better things to do with your time. Slots are tight and other games are limited.,"a month ago on
Google",Google,2025-09-13 10:30:15,en,Avoid the casino. There are better things to do with your time. Slots are tight and other games are limited.
Drew Hirsch,5/5,Amazing light show in the evening.    The views from the top of the hotel are incredible.    Food and cocktails at the top are great as well.    Everything is pricey there but is to be expected.,"7 months ago on
Google",Google,2025-09-13 10:30:22,en,Amazing light show in the evening.    The views from the top of the hotel are incredible.    Food and cocktails at the top are great as well.    Everything is pricey there but is to be expected.
Zuzanna Neziri,3/5,All good but probably needs a renovation... Charging premium for dated hotel rooms,"a month ago on
Google",Google,2025-09-13 10:30:28,en,All good but probably needs a renovation... Charging premium for dated hotel rooms
kashyap tk,4/5,We went there only to go to the observatory to get the full view of Singapore. It’s a place from where you can cover all the city views of Singapore in one go. It’s a must visit place to get a birds eyes view of the Singapore city and it’s attractions,"3 months ago on
Google",Google,2025-09-13 10:30:34,en,We went there only to go to the observatory to get the full view of Singapore. It’s a place from where you can cover all the city views of Singapore in one go. It’s a must visit place to get a birds eyes view of the Singapore city and it’s attractions
Ranveer Munde,5/5,"Like it was so fun, the floating apple store was so cool, even the cycles were in good conditions.","a month ago on
Google",Google,2025-09-13 10:30:40,en,"Like it was so fun, the floating apple store was so cool, even the cycles were in good conditions."
Shipra Pradhan,5/5,"Jelly and apple were lovely.
I was sad to see ku de ta shut down n ce la vie was only partly open .
There were no restaurants open late night .","5 months ago on
Google",Google,2025-09-13 10:30:46,en,"Jelly and apple were lovely.
I was sad to see ku de ta shut down n ce la vie was only partly open .
There were no restaurants open late night ."
Dawn Tan,5/5,"Spacious room, huge TV, bathtub, bath bombs, wireless charging, spectacular view among all things! …","8 months ago on
Google",Google,2025-09-13 10:30:52,en,"Spacious room, huge TV, bathtub, bath bombs, wireless charging, spectacular view among all things! …"
denis cheong,4/5,Went to see a show at the Sands theatre. The venue was nice but the parking was $24! Exorbitant and I will train down in future.,"5 months ago on
Google",Google,2025-09-13 10:30:58,en,Went to see a show at the Sands theatre. The venue was nice but the parking was $24! Exorbitant and I will train down in future.
Chris Klimczyk,5/5,"Fabulous, but very busy. Still worth the experience

Edition on my previous post: …","Edited 6 months ago on
Google",Google,2025-09-13 10:31:05,en,"Fabulous, but very busy. Still worth the experience

Edition on my previous post: …"
Klaus Slippens,5/5,Wonderfull postmodern place with great architecture and city view.... in the evening at sunday we saw the wonderfull laser lightshow .......,"4 months ago on
Google",Google,2025-09-13 10:31:11,en,Wonderfull postmodern place with great architecture and city view.... in the evening at sunday we saw the wonderfull laser lightshow .......
Samantha,5/5,This shopping centre is located in the perfect spot. Inside you will be Amazed by the range of Desighner shops and beautiful displays put on. We visited at the end of October and the had beautiful Christmas displays.The cleanliness of this …,"10 months ago on
Google",Google,2025-09-13 10:31:17,en,This shopping centre is located in the perfect spot. Inside you will be Amazed by the range of Desighner shops and beautiful displays put on. We visited at the end of October and the had beautiful Christmas displays.The cleanliness of this …
Trip.com Member,5/5,"Excellent Trip at MBS Hotel, the scene is gorgeous and the swimming pool is beautiful and with good view of the CBD area.","5 months ago on
Trip.com",Trip.com,2025-09-13 10:31:23,en,"Excellent Trip at MBS Hotel, the scene is gorgeous and the swimming pool is beautiful and with good view of the CBD area."
vaibhav phapale,5/5,A wonderful series of awesome experiences for staying in Singapore at the core heart of the loving and joyful people surrounded by you. This place is crowded with one of the most cherishing people. The wonderful light and fountain show mesmerize you to the magical music.,"9 months ago on
Google",Google,2025-09-13 10:31:24,en,A wonderful series of awesome experiences for staying in Singapore at the core heart of the loving and joyful people surrounded by you. This place is crowded with one of the most cherishing people. The wonderful light and fountain show mesmerize you to the magical music.
Trip.com Member,5/5,"Good location, luxurious hotel, next to sands by the bay which has lots of stuff to doThe shopping under also great","4 months ago on
Trip.com",Trip.com,2025-09-13 10:31:30,en,"Good location, luxurious hotel, next to sands by the bay which has lots of stuff to doThe shopping under also great"
Shabbu (M0207254P),5/5,The lighting show is very good there and the food and accommodation are all very good.,"a month ago on
Google",Google,2025-09-13 10:31:30,en,The lighting show is very good there and the food and accommodation are all very good.
Ram Prakash,4/5,"Generally very expensive place is Singapore. Those who are earning in Singapore, living cost is ok. It is triple times expensive than India. At Marina Bay shops only international brands are available, you can see 1000s of brands. Room rent cost around 55k per day.","4 months ago on
Google",Google,2025-09-13 10:31:36,en,"Generally very expensive place is Singapore. Those who are earning in Singapore, living cost is ok. It is triple times expensive than India. At Marina Bay shops only international brands are available, you can see 1000s of brands. Room rent cost around 55k per day."
Liviu Apostol-Ionescu,5/5,"Really amazing. Attention to every single detail and the way you are treated makes it so special. Rooms are very spacious and you keep discovering things, details that makes this hotel so unique. It was above my expectations.","7 months ago on
Google",Google,2025-09-13 10:31:36,en,"Really amazing. Attention to every single detail and the way you are treated makes it so special. Rooms are very spacious and you keep discovering things, details that makes this hotel so unique. It was above my expectations."
Imran Alam,5/5,"Marina Bay Sands is one of the most stunning places I’ve visited in Singapore. That day I spent time walking around, enjoying the view, and taking photos. The architecture is so iconic and the whole place feels elegant and beautifully …","Edited a month ago on
Google",Google,2025-09-13 10:31:42,en,"Marina Bay Sands is one of the most stunning places I’ve visited in Singapore. That day I spent time walking around, enjoying the view, and taking photos. The architecture is so iconic and the whole place feels elegant and beautifully …"
Habib Sajid,5/5,"As I heard from others, Singapore is an attractive place to visit. It is true. I visited malasiya Thailand and Singapore, and I found Singapore is the best place to visit. Very soon, I will visit Singapore with my family and stay as many …","7 months ago on
Google",Google,2025-09-13 10:31:49,en,"As I heard from others, Singapore is an attractive place to visit. It is true. I visited malasiya Thailand and Singapore, and I found Singapore is the best place to visit. Very soon, I will visit Singapore with my family and stay as many …"
see ping LOH,5/5,Memorable place. What's truly beautiful are the night lights and happenings around the promenade and bay area!,"3 months ago on
Google",Google,2025-09-13 10:31:55,en,Memorable place. What's truly beautiful are the night lights and happenings around the promenade and bay area!
Gurmehar Kaur,4/5,Amazing light and sound show! Happens weekdays twice and thrice over the weekends. The Louis Vuitton showroom is a must visit here!,"6 months ago on
Google",Google,2025-09-13 10:32:01,en,Amazing light and sound show! Happens weekdays twice and thrice over the weekends. The Louis Vuitton showroom is a must visit here!
Nirlesh Dube,5/5,It was worthwhile experience of my life to play casino and do other stuff like shopping and eating... Do not miss to go to Lavo restaurant..,"5 months ago on
Google",Google,2025-09-13 10:32:07,en,It was worthwhile experience of my life to play casino and do other stuff like shopping and eating... Do not miss to go to Lavo restaurant..
Mister Chafee,5/5,"Excellent location, excellent service! Excellent rooms! I cannot ask for more. MBS is the standard all hotels should look up to","5 months ago on
Google",Google,2025-09-13 10:32:13,en,"Excellent location, excellent service! Excellent rooms! I cannot ask for more. MBS is the standard all hotels should look up to"
Albert Pawlusiewicz,5/5,"One of the most luxurious and beautiful hotels I have been to with stunning roof top pools and terraces, shopping centers, and international restaurants. Amazing!","5 months ago on
Google",Google,2025-09-13 10:32:20,en,"One of the most luxurious and beautiful hotels I have been to with stunning roof top pools and terraces, shopping centers, and international restaurants. Amazing!"
Steven Gomesis,5/5,"Incredible place to visit, shop and socialise, make sure you see the light show at 8pm, go early to get a good spot.","5 months ago on
Google",Google,2025-09-13 10:32:26,en,"Incredible place to visit, shop and socialise, make sure you see the light show at 8pm, go early to get a good spot."
Lucian Toh,5/5,Clean and Nice. Lots to see and definitely a nice place to chill if you are not driving there. Parking fee may burn your pocket,"5 months ago on
Google",Google,2025-09-13 10:32:32,en,Clean and Nice. Lots to see and definitely a nice place to chill if you are not driving there. Parking fee may burn your pocket
Cou Cou,5/5,This is very nice place to look Singapore. Better to come at sunset so that you can see the lighting.,"4 months ago on
Google",Google,2025-09-13 10:32:38,en,This is very nice place to look Singapore. Better to come at sunset so that you can see the lighting.
Trip.com Member,5/5,This is a very nice hotel that I love very much. Will definitely come back again.,"3 months ago on
Trip.com",Trip.com,2025-09-13 10:32:44,en,This is a very nice hotel that I love very much. Will definitely come back again.
Christine Choy,5/5,"Marina Bay Sands is the epitome of luxury and elegance! From the moment I stepped inside, I was captivated by the stunning architecture and the grand, sophisticated ambiance.","6 months ago on
Google",Google,2025-09-13 10:32:45,en,"Marina Bay Sands is the epitome of luxury and elegance! From the moment I stepped inside, I was captivated by the stunning architecture and the grand, sophisticated ambiance."
Monica Suprantio,5/5,I have a good time watching the 15 minutes long lighting and fountain show in front of Shoppes MBS. And its free!,"5 months ago on
Google",Google,2025-09-13 10:32:51,en,I have a good time watching the 15 minutes long lighting and fountain show in front of Shoppes MBS. And its free!
DR Apostolos Maziotis Plastic surgeon M.D,3/5,"Infinity pool no vipes at all service zero

Atlantis in Dubai it’s the only one and only
Rooms are really nice","3 months ago on
Google",Google,2025-09-13 10:32:51,en,"Infinity pool no vipes at all service zero

Atlantis in Dubai it’s the only one and only
Rooms are really nice"
Stephane SDP,5/5,Didn’t stay at the hotel but went there to watch the famous ( every night!) light and sounds 👍 a must 🎇 💦 📽️ …,"4 months ago on
Google",Google,2025-09-13 10:32:57,en,Didn’t stay at the hotel but went there to watch the famous ( every night!) light and sounds 👍 a must 🎇 💦 📽️ …
Wanvisa K,5/5,"It’s a place to enjoy a meal and take in the beautiful views, with convenient transportation access. There is also a theater","4 months ago on
Google",Google,2025-09-13 10:33:03,en,"It’s a place to enjoy a meal and take in the beautiful views, with convenient transportation access. There is also a theater"
2495 Dave,5/5,"A really amazing place to visit and a must if you are coming to Singapore.
We walked all round the lake and then entered Marina Bay Sands. The shopping hall is huge here with all the high end brands here. …","9 months ago on
Google",Google,2025-09-13 10:33:10,en,"A really amazing place to visit and a must if you are coming to Singapore.
We walked all round the lake and then entered Marina Bay Sands. The shopping hall is huge here with all the high end brands here. …"
KC Go,3/5,"It is one of the best hotel in Singapore. This time I stay in tower two. It is one of the newly renovated room.
Compare to the old decoration , this new decoration room is really very nice. The color turned, they choose, give you a very comfortable feeling. And all the cabinet they provide, is a very high standard.
Buffoon design is very convenient, everything you need is all provided.
It is a very good experience to stay in this hotel","11 months ago on
Google",Google,2025-09-13 10:33:16,en,"It is one of the best hotel in Singapore. This time I stay in tower two. It is one of the newly renovated room.
Compare to the old decoration , this new decoration room is really very nice. The color turned, they choose, give you a very comfortable feeling. And all the cabinet they provide, is a very high standard.
Buffoon design is very convenient, everything you need is all provided.
It is a very good experience to stay in this hotel"
Joe Duffin,5/5,"First time to asia,celebrated our anniversary(40 years)
do not expect a cheap night out,if you want a special night,depending on your value for money,it was exceptional for us.Food was exceptional,staff very courteous and friendly,atmosphere was lovely,I'm sure it would've been better only for the weather was lousy outside,I suppose it depends on what you feel on the night.I have no hesitation in recommending this place.Management deserved big credit for everything about this place.(well done).","5 months ago on
Google",Google,2025-09-13 10:33:22,en,"First time to asia,celebrated our anniversary(40 years)
do not expect a cheap night out,if you want a special night,depending on your value for money,it was exceptional for us.Food was exceptional,staff very courteous and friendly,atmosphere was lovely,I'm sure it would've been better only for the weather was lousy outside,I suppose it depends on what you feel on the night.I have no hesitation in recommending this place.Management deserved big credit for everything about this place.(well done)."
Helen Lee,5/5,"I really enjoyed my stay at Marina Bay Sands. We stayed one night only to experience the pool. I was concerned that the pool would be crowded but it wasn’t. The view at the top is truly amazing. I stayed there on a Tuesday in October. I got upgraded to a bayside suite room in Tower 3 in a newly renovated room and was able to watch the light show at the Gardens by the Bay which happens twice a night. The service was amazing and despite being such a big hotel, I did not feel lost or without attention. There is also a laser light show at the marina bay sands complex at night which was fun. Get there early to secure good seats. The area is fun to walk around or jog. There is also a mall attached and a casino. (Did not go so can’t comment)","10 months ago on
Google",Google,2025-09-13 10:33:28,en,"I really enjoyed my stay at Marina Bay Sands. We stayed one night only to experience the pool. I was concerned that the pool would be crowded but it wasn’t. The view at the top is truly amazing. I stayed there on a Tuesday in October. I got upgraded to a bayside suite room in Tower 3 in a newly renovated room and was able to watch the light show at the Gardens by the Bay which happens twice a night. The service was amazing and despite being such a big hotel, I did not feel lost or without attention. There is also a laser light show at the marina bay sands complex at night which was fun. Get there early to secure good seats. The area is fun to walk around or jog. There is also a mall attached and a casino. (Did not go so can’t comment)"
Myomin Khaing,5/5,Perfect place. Great Atmosphere. But someday very crowded.,"a month ago on
Google",Google,2025-09-13 10:33:35,en,Perfect place. Great Atmosphere. But someday very crowded.
Tamika Whitted,5/5,"Very nice view and very busy, I took so long to post.","a month ago on
Google",Google,2025-09-13 10:33:41,en,"Very nice view and very busy, I took so long to post."
saffu Khan,5/5,Awesome experience with the marina hotel really loved their hospitality and service and the infinity pool was awesome,"a month ago on
Google",Google,2025-09-13 10:33:47,en,Awesome experience with the marina hotel really loved their hospitality and service and the infinity pool was awesome
Rola Elqassas,5/5,One of the best hotels we ever stayed in,"2 weeks ago on
Google",Google,2025-09-13 10:33:54,en,One of the best hotels we ever stayed in
Endrina Zendeli,5/5,"Loved the seaview room, amazing service, and the iconic infinity pool, unforgettable stay","a month ago on
Google",Google,2025-09-13 10:34:00,en,"Loved the seaview room, amazing service, and the iconic infinity pool, unforgettable stay"
Rasa Medutytė-Prakapienė,5/5,"The best hotel we have ever been. Spacious room with a great view to gardens, we could watch the show in our balcony. Also an amazing pool at the top. Once in a lifetime experience.","10 months ago on
Google",Google,2025-09-13 10:34:06,en,"The best hotel we have ever been. Spacious room with a great view to gardens, we could watch the show in our balcony. Also an amazing pool at the top. Once in a lifetime experience."
Joe Sia,5/5,Great Experience for new tourists locals did a great job with maintaining the place clean and safe. World-class hospitality .,"5 months ago on
Google",Google,2025-09-13 10:34:12,en,Great Experience for new tourists locals did a great job with maintaining the place clean and safe. World-class hospitality .
Darrell Fernandes,5/5,We went to the Spago Bar & Lounge for a quick meal. The food was lovely & the view even better.,"3 months ago on
Google",Google,2025-09-13 10:34:18,en,We went to the Spago Bar & Lounge for a quick meal. The food was lovely & the view even better.
Jeffrey Yeo,4/5,"MBS truly live up to it status with exceptional rooms and service in the heart of everything you need to eat, shop or visit. Don't miss out Garden by the Bay.","6 months ago on
Google",Google,2025-09-13 10:34:25,en,"MBS truly live up to it status with exceptional rooms and service in the heart of everything you need to eat, shop or visit. Don't miss out Garden by the Bay."
Mr Choo,5/5,5 stars all around. Very pleased with my staycation. Thank you Jean for the great customer service :),"2 months ago on
Google",Google,2025-09-13 10:34:31,en,5 stars all around. Very pleased with my staycation. Thank you Jean for the great customer service :)
James Schumacher,4/5,"The service was perfect
The room I felt was small.
It can be a bit far from everything in town, but do you need to leave","5 months ago on
Google",Google,2025-09-13 10:34:37,en,"The service was perfect
The room I felt was small.
It can be a bit far from everything in town, but do you need to leave"
Austin Hii,5/5,Very well maintained room and quality items down to every details,"a month ago on
Google",Google,2025-09-13 10:34:43,en,Very well maintained room and quality items down to every details
Dawn Tan,5/5,"I didn't stay the night but I've heard from friends that the rooms are good.

The service from the staff around the mall are amazing. I stopped for a while at …","a year ago on
Google",Google,2025-09-13 10:34:49,en,"I didn't stay the night but I've heard from friends that the rooms are good.

The service from the staff around the mall are amazing. I stopped for a while at …"
Liliana Pizarro,5/5,Perfect location to stay beautiful views and wonderful service. Everything was perfect,"a month ago on
Google",Google,2025-09-13 10:34:56,en,Perfect location to stay beautiful views and wonderful service. Everything was perfect
David Collin,5/5,"We just went to see the light show, but fantastic setting.","2 months ago on
Google",Google,2025-09-13 10:35:02,en,"We just went to see the light show, but fantastic setting."
Christopher Ong,5/5,Great dining and shopping experience.  Good service from the restaurant and shops (especially Maison Boulud and Gucci).,"Edited 4 months ago on
Google",Google,2025-09-13 10:35:08,en,Great dining and shopping experience.  Good service from the restaurant and shops (especially Maison Boulud and Gucci).
Manoj T W,5/5,"Marina Bay Sands is one of Singapore’s most iconic landmarks and a symbol of modern architectural brilliance. The complex consists of three towering hotel blocks connected at the top by the SkyPark, an engineering marvel that offers …","Edited 4 months ago on
Google",Google,2025-09-13 10:35:14,en,"Marina Bay Sands is one of Singapore’s most iconic landmarks and a symbol of modern architectural brilliance. The complex consists of three towering hotel blocks connected at the top by the SkyPark, an engineering marvel that offers …"
James Seals,5/5,"Service was spectacular. Location to attractions and subway was great. If you have access to the MR Lounge you are in for a treat!!! If you get an upper floor, the views are tremendous.","8 months ago on
Google",Google,2025-09-13 10:35:20,en,"Service was spectacular. Location to attractions and subway was great. If you have access to the MR Lounge you are in for a treat!!! If you get an upper floor, the views are tremendous."
pawankumar,5/5,Of course one of the best spots to explore and experience in Singapore. Must experience the views from observatory deck. Didn't stay here but only went to experience the observatory deck and that was great.,"6 months ago on
Google",Google,2025-09-13 10:35:26,en,Of course one of the best spots to explore and experience in Singapore. Must experience the views from observatory deck. Didn't stay here but only went to experience the observatory deck and that was great.
George Salem,1/5,"Older friend asked to get a taxi from the bellhop at the taxi stand. Was refused and told to walk. When she said the heat was too much for her, she was told to get a bus and the bellhop walked away. Terrible service. 0 stars.","5 months ago on
Google",Google,2025-09-13 10:35:27,en,"Older friend asked to get a taxi from the bellhop at the taxi stand. Was refused and told to walk. When she said the heat was too much for her, she was told to get a bus and the bellhop walked away. Terrible service. 0 stars."
Mary Ann,5/5,"Marina Bay Sands is an absolute gem! Visiting it was such an unforgettable experience. The architecture is iconic, and the views are breathtaking—especially from the SkyPark. I felt like I was on top of the world, taking in the cityscape …","8 months ago on
Google",Google,2025-09-13 10:35:33,en,"Marina Bay Sands is an absolute gem! Visiting it was such an unforgettable experience. The architecture is iconic, and the views are breathtaking—especially from the SkyPark. I felt like I was on top of the world, taking in the cityscape …"
Susan Mercer,5/5,The most wonderful hotel I have ever stayed at. If I could give more than 5* then I would. The staff are exceptional and make you feel very special as if you were the only guests. They cannot do enough to make your stay the best it can be. …,"11 months ago on
Google",Google,2025-09-13 10:35:39,en,The most wonderful hotel I have ever stayed at. If I could give more than 5* then I would. The staff are exceptional and make you feel very special as if you were the only guests. They cannot do enough to make your stay the best it can be. …
VMA SG,5/5,Room is quite big. Families are first class. Swimming pool and view there are stunning.,"6 months ago on
Google",Google,2025-09-13 10:35:45,en,Room is quite big. Families are first class. Swimming pool and view there are stunning.
Chris,5/5,Clean and modern hotel and the mall comes with lots of high end boutique brands.  Inside has a mini venetian artificial river where you can take a short ride to the waterfalls.  Great place to relax and take a walk.,"11 months ago on
Google",Google,2025-09-13 10:35:51,en,Clean and modern hotel and the mall comes with lots of high end boutique brands.  Inside has a mini venetian artificial river where you can take a short ride to the waterfalls.  Great place to relax and take a walk.
toa fiona,5/5,"Excellent room service provided by kham ko brought ice, extra towel and chocolate to the room","2 months ago on
Google",Google,2025-09-13 10:35:58,en,"Excellent room service provided by kham ko brought ice, extra towel and chocolate to the room"
Viona Lau,5/5,"Very clean, top notch service
Mall just a step away","a month ago on
Google",Google,2025-09-13 10:36:04,en,"Very clean, top notch service
Mall just a step away"
Jrdmum,5/5,Didn’t stay here  but the area is lovely and the shopping underneath is next level. Very high end. Good for a look around. The waterfront is nice and the night sky surrounds are very good. Nice day out.,"9 months ago on
Google",Google,2025-09-13 10:36:10,en,Didn’t stay here  but the area is lovely and the shopping underneath is next level. Very high end. Good for a look around. The waterfront is nice and the night sky surrounds are very good. Nice day out.
Dr.Reema Sharaf,5/5,"Went to the shopping mall but didn’t check the hotel. The mall is wonderful full of brands ,","a month ago on
Google",Google,2025-09-13 10:36:16,en,"Went to the shopping mall but didn’t check the hotel. The mall is wonderful full of brands ,"
Indra Louie,5/5,"Marina Bay Sands is one of Singapore’s most iconic spots, offering a perfect mix of luxury, incredible dining, and exciting entertainment. Its stunning architecture and upscale shopping make every moment there feel special. While it’s on the pricier side, the unforgettable experience and top-notch service are absolutely worth it.","9 months ago on
Google",Google,2025-09-13 10:36:23,en,"Marina Bay Sands is one of Singapore’s most iconic spots, offering a perfect mix of luxury, incredible dining, and exciting entertainment. Its stunning architecture and upscale shopping make every moment there feel special. While it’s on the pricier side, the unforgettable experience and top-notch service are absolutely worth it."
Sunil Kumar,5/5,"Stayed in Marina bay sands and witnessed its stunning architectural design, world-class amenities, and breathtaking views of the city skyline and the bay, Marina Bay Sands Singapore is a true gem of Southeast Asia.","6 months ago on
Google",Google,2025-09-13 10:36:29,en,"Stayed in Marina bay sands and witnessed its stunning architectural design, world-class amenities, and breathtaking views of the city skyline and the bay, Marina Bay Sands Singapore is a true gem of Southeast Asia."
Chua Iann (Blgps),5/5,"I like this place, even there's a pool to see a beautiful view, especially in night!!! I love this place!!!","3 months ago on
Google",Google,2025-09-13 10:36:35,en,"I like this place, even there's a pool to see a beautiful view, especially in night!!! I love this place!!!"
Aidan Cusa,5/5,Never went up or stayed here but it looked cool from the bottom lol.,"a month ago on
Google",Google,2025-09-13 10:36:41,en,Never went up or stayed here but it looked cool from the bottom lol.
usha g,5/5,We went for observation deck.. the view is ok.. but it will not allow you tour whole sides.. only little bit we can explore.. water and music show is good..,"7 months ago on
Google",Google,2025-09-13 10:36:41,en,We went for observation deck.. the view is ok.. but it will not allow you tour whole sides.. only little bit we can explore.. water and music show is good..
Jonathan du Toit,4/5,A great shopping experience but as for the Casino 🎰 there is a reason why it exists it for the bank all the way,"3 months ago on
Google",Google,2025-09-13 10:36:47,en,A great shopping experience but as for the Casino 🎰 there is a reason why it exists it for the bank all the way
Phillip Lee,5/5,"Service, cleanliness, view , friendliness, all top class","2 weeks ago on
Google",Google,2025-09-13 10:36:54,en,"Service, cleanliness, view , friendliness, all top class"
Alex,5/5,Lots to do around here and enjoy the scenery. Definitely check out the water show.,"4 months ago on
Google",Google,2025-09-13 10:37:00,en,Lots to do around here and enjoy the scenery. Definitely check out the water show.
김기수,3/5,It's great for taking pictures outside. Shopping and dining inside are inconvenient.,"a month ago on
Google",Google,2025-09-13 10:37:06,en,It's great for taking pictures outside. Shopping and dining inside are inconvenient.
MIN KANG,5/5,Amazing mall with freezing cool wind:) Overwhelming atmosphere of cityscape😁 …,"2 months ago on
Google",Google,2025-09-13 10:37:07,en,Amazing mall with freezing cool wind:) Overwhelming atmosphere of cityscape😁 …
Sanket Vijaykumar,5/5,Extremely beautiful! Very crowded which is Obvious! But lovely place!,"a month ago on
Google",Google,2025-09-13 10:37:13,en,Extremely beautiful! Very crowded which is Obvious! But lovely place!
Jennifer Smith,5/5,"Did not stay at hotel but visited area and inside. Beautiful area and sights to be seen. Watched fireworks from Marina Bay  on New Year and whole area was alight,fabulous.","7 months ago on
Google",Google,2025-09-13 10:37:19,en,"Did not stay at hotel but visited area and inside. Beautiful area and sights to be seen. Watched fireworks from Marina Bay  on New Year and whole area was alight,fabulous."
Redbowl Tega cay,5/5,"My kids crazy for the infinity pool , the breakfast is amazing !","2 months ago on
Google",Google,2025-09-13 10:37:25,en,"My kids crazy for the infinity pool , the breakfast is amazing !"
Jack Newland,5/5,Awesome spot to catch the light show by the water!! Just get in a little early to get a good seat,"4 months ago on
Google",Google,2025-09-13 10:37:31,en,Awesome spot to catch the light show by the water!! Just get in a little early to get a good seat
Eman Mustafa,5/5,It is a very exciting and nice place in the  heart of Singapore especially at night,"2 months ago on
Google",Google,2025-09-13 10:37:32,en,It is a very exciting and nice place in the  heart of Singapore especially at night
Asaf Dayan,5/5,"This place is  topping any other hotel I have ever been in ,in every aspect you can imagine. I wish I will have the opportunity to return back to this one.","5 months ago on
Google",Google,2025-09-13 10:37:32,en,"This place is  topping any other hotel I have ever been in ,in every aspect you can imagine. I wish I will have the opportunity to return back to this one."
L B,5/5,"I'm convinced this is probably the best hotel on the planet. We had the most amazing time, the hotel literally has everything.
We received a complementary upgrade to their newest Paiza Signature Suite and …","a year ago on
Google",Google,2025-09-13 10:37:38,en,"I'm convinced this is probably the best hotel on the planet. We had the most amazing time, the hotel literally has everything.
We received a complementary upgrade to their newest Paiza Signature Suite and …"
vijay chandarah,5/5,"More vibrant place to visit while in Singapore,to enjoy local food pls go to Rasapura foodcourt at B2","Edited 3 months ago on
Google",Google,2025-09-13 10:37:44,en,"More vibrant place to visit while in Singapore,to enjoy local food pls go to Rasapura foodcourt at B2"
L Lim,5/5,I was very impressed by the room when I first stepped in and the quality of the toiletries was top notch. Mini bar was stocked and fully free. Sorry no alcohol though. 75” TV in a twin  sharing room? Unheard of but it’s staring me in the …,"a year ago on
Google",Google,2025-09-13 10:37:51,en,I was very impressed by the room when I first stepped in and the quality of the toiletries was top notch. Mini bar was stocked and fully free. Sorry no alcohol though. 75” TV in a twin  sharing room? Unheard of but it’s staring me in the …
