reviewer_name,review_date,review_title,review_text,review_score,date_of_stay,trip_type,reviewer_country,title_detected_lang,title_translated,review_detected_lang,review_translated
Jenna C,Jun 2025,Marina Bay Sands is a must!,"Poolside at Marina Bay Sands is an unforgettable experience. The rooftop infinity pool alone is reason enough to visit, offering unbeatable views and a luxurious atmosphere. A special mention to Thiva, whose exceptional service truly stood out attentive, friendly and always one step ahead. He went above and beyond to make our visit seamless and memorable. If you’re visiting MBS, don’t miss the chance to relax poolside it’s world-class in every way.",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,Marina Bay Sands is a must!,en,"Poolside at Marina Bay Sands is an unforgettable experience. The rooftop infinity pool alone is reason enough to visit, offering unbeatable views and a luxurious atmosphere. A special mention to Thiva, whose exceptional service truly stood out attentive, friendly and always one step ahead. He went above and beyond to make our visit seamless and memorable. If you’re visiting MBS, don’t miss the chance to relax poolside it’s world-class in every way."
FarAway62243881610,Jun 2025,An Unforgettable Stay at Marina Bay Sands!,"We had an amazing stay at Marina Bay Sands. The hotel truly lives up to the hype, from the rooftop infinity pool to the great selection of restaurants and beautifully appointed rooms.

We stayed in a family suite, which was perfect for travelling with kids. They loved the space, and having access to the babysitting service made a big difference.

A special mention to Ryan Goh poolside his service was outstanding. Friendly, attentive, and went out of his way to make us feel looked after.

Highly recommend for anyone visiting Singapore.",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,An Unforgettable Stay at Marina Bay Sands!,en,"We had an amazing stay at Marina Bay Sands. The hotel truly lives up to the hype, from the rooftop infinity pool to the great selection of restaurants and beautifully appointed rooms.

We stayed in a family suite, which was perfect for travelling with kids. They loved the space, and having access to the babysitting service made a big difference.

A special mention to Ryan Goh poolside his service was outstanding. Friendly, attentive, and went out of his way to make us feel looked after.

Highly recommend for anyone visiting Singapore."
vyonne y,Jun 2025,Experience at MBS,"Always a pleasant experience at MBS especially at the infinity pool. The lifeguards eg Ryan are very attentive and enhance the experience for our kids.
Kudos to the team!",5 of 5 bubbles,June 2025,Traveled with family,3 contributions,en,Experience at MBS,en,"Always a pleasant experience at MBS especially at the infinity pool. The lifeguards eg Ryan are very attentive and enhance the experience for our kids.
Kudos to the team!"
マラッカ　マレーシア,Jun 2025,Major changes to suite guest benefits,"Afternoon tea has been reduced to a smaller section of space in Rise, with a major change to suite guest benefits starting in June. Cocktail hour has also been abolished, becoming aperitif hour, and reservations must be made at six restaurants. Popular stores are full of reservations. It's not a buffet like before, just one plate and a drink. Seating is only available for an hour. I paid extra to drink champagne, but it was only an hour, so it was very hectic. I miss my old style.",2 of 5 bubbles,June 2025,Traveled as a couple,"Kuala Lumpur, Malaysia",en,Major changes to suite guest benefits,en,"Afternoon tea has been reduced to a smaller section of space in Rise, with a major change to suite guest benefits starting in June. Cocktail hour has also been abolished, becoming aperitif hour, and reservations must be made at six restaurants. Popular stores are full of reservations. It's not a buffet like before, just one plate and a drink. Seating is only available for an hour. I paid extra to drink champagne, but it was only an hour, so it was very hectic. I miss my old style."
Dreamer13471825654,Jun 2025,Major changes to suite guest benefits,"From June, the benefits for suite guests have changed significantly. Afternoon tea has changed from a club to a rise, and it's a very small space, with coffee being an automatic machine. Cocktail hour has also been changed to aperitif hour and you have to make reservations at six restaurants. The popular wakda was full of reservations. And only a set plate and a drink (no champagne, sparkling wine) and only an hour's seating. It used to be two hours in a spacious space and you could have all you wanted. It has changed so much, it is so disappointing. It was a suite stay with no special feeling whatsoever.",2 of 5 bubbles,May 2025,Traveled as a couple,1 contribution,en,Major changes to suite guest benefits,en,"From June, the benefits for suite guests have changed significantly. Afternoon tea has changed from a club to a rise, and it's a very small space, with coffee being an automatic machine. Cocktail hour has also been changed to aperitif hour and you have to make reservations at six restaurants. The popular wakda was full of reservations. And only a set plate and a drink (no champagne, sparkling wine) and only an hour's seating. It used to be two hours in a spacious space and you could have all you wanted. It has changed so much, it is so disappointing. It was a suite stay with no special feeling whatsoever."
Yena K,Jun 2025,10th Anniversary Celebration Family Trip,"The cleanliness of the rooms and the location of Gardens Bay was so good
Space play games for kids and everything was well equipped.
Unice explained!! The best!!

Crabs came out on the terrace.",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,10th Anniversary Celebration Family Trip,en,"The cleanliness of the rooms and the location of Gardens Bay was so good
Space play games for kids and everything was well equipped.
Unice explained!! The best!!

Crabs came out on the terrace."
Valérie B,Jun 2025,Marina Bay Sand June 2025,"Robby was waiting for us outside the hotel. He is super nice and friendly. We were treated to a great welcome. Our suite is splendid, the view magic. The children received lots of great gifts and attention (backpack, cap, plush, cookies, popcorn, etc.). It is an absolutely extraordinary stay waiting for us 🤩🤩🤩.",5 of 5 bubbles,June 2025,Traveled with family,2 contributions,en,Marina Bay Sand June 2025,en,"Robby was waiting for us outside the hotel. He is super nice and friendly. We were treated to a great welcome. Our suite is splendid, the view magic. The children received lots of great gifts and attention (backpack, cap, plush, cookies, popcorn, etc.). It is an absolutely extraordinary stay waiting for us 🤩🤩🤩."
Michelle R,Jun 2025,Very nice,Excellent service amazing massage good facilities warmth in treatment isjjsjsksbdbsjkssbsjskddbdkdkdkdkdkdkdkddkdksnsbskdkdnndkdkddjdkdkddkdkdkdkdkdkkksnsbskdkdkdkdksnsbdnssksbdksndbskkdkfndkslsdnsksnddnksnddbks,5 of 5 bubbles,June 2025,Traveled as a couple,2 contributions,en,Very nice,en,Excellent service amazing massage good facilities warmth in treatment isjjsjsksbdbsjkssbsjskddbdkdkdkdkdkdkdkddkdksnsbskdkdnndkdkddjdkdkddkdkdkdkdkdkkksnsbskdkdkdkdksnsbdnssksbdksndbskkdkfndkslsdnsksnddnksnddbks
Climber07856133949,Jun 2025,I was impressed.,"They explained the room carefully and
I was so happy. The song was lovely,
On my first trip to Singapore.
I had good memories of it!",5 of 5 bubbles,June 2025,Traveled as a couple,1 contribution,en,I was impressed.,en,"They explained the room carefully and
I was so happy. The song was lovely,
On my first trip to Singapore.
I had good memories of it!"
Mario Abrahan M,Jun 2025,Incredible Place!,Incredible place! The view from the rooftop is unbelievable. They have a nice restaurant with good food. The infinity pools are out of this world; I've never seen anything like them before. You get the best view of all the buildings in Singapore. It’s a must-visit if you’re in Singapore!,5 of 5 bubbles,December 2024,Traveled as a couple,21 contributions,en,Incredible Place!,en,Incredible place! The view from the rooftop is unbelievable. They have a nice restaurant with good food. The infinity pools are out of this world; I've never seen anything like them before. You get the best view of all the buildings in Singapore. It’s a must-visit if you’re in Singapore!
Culture04954900292,Jun 2025,Great!,"wonderful swimming pool
good room service
all staff are very nice, especially Jeff and Kit who helped me to call taxi to airport and put my luggage in the taxi",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,Great!,en,"wonderful swimming pool
good room service
all staff are very nice, especially Jeff and Kit who helped me to call taxi to airport and put my luggage in the taxi"
Istvan Kovacs,Jun 2025,An Unforgetable Experiance at Marina Bay Sands!,"This hotel is absolutly grand, and the check in was realy smooth! The lower levels are full of life style boutiques and restraunts – so convienent! Our room was stuning, with a breathtakin Marina Bay view. We could even saw Gardens by the Bay straight from the window – a real Sky Garden view!

The bed and ameneties? No need explain – everythings was perfect, just like you’d expect from a world class hotel. The rooftop pool was totaly a highlight! We enjoyed meeting with travlers from all over while soaking those infinity pool vibes.

Also the casino downstairs – what a fantastic thing! We spent few fun nights there, impressed by the new machines and very friendly staff.

Sleep quality? Perfect. Cleaness? Impecable. Every detail make our stay realy unforgetable. Thank you for the luxury, excitment and the memories – we be back!",5 of 5 bubbles,December 2024,Traveled with friends,"Budapest, Hungary",en,An Unforgetable Experiance at Marina Bay Sands!,en,"This hotel is absolutly grand, and the check in was realy smooth! The lower levels are full of life style boutiques and restraunts – so convienent! Our room was stuning, with a breathtakin Marina Bay view. We could even saw Gardens by the Bay straight from the window – a real Sky Garden view!

The bed and ameneties? No need explain – everythings was perfect, just like you’d expect from a world class hotel. The rooftop pool was totaly a highlight! We enjoyed meeting with travlers from all over while soaking those infinity pool vibes.

Also the casino downstairs – what a fantastic thing! We spent few fun nights there, impressed by the new machines and very friendly staff.

Sleep quality? Perfect. Cleaness? Impecable. Every detail make our stay realy unforgetable. Thank you for the luxury, excitment and the memories – we be back!"
Relax35948873169,Jun 2025,Nice gym but can be better,The staff is friendly and helpful! The gym could be better. Too far from the hotel. Hoping to have the steam and sauna room soon.,4 of 5 bubbles,June 2025,Traveled solo,2 contributions,en,Nice gym but can be better,en,The staff is friendly and helpful! The gym could be better. Too far from the hotel. Hoping to have the steam and sauna room soon.
Venture08704509937,Jun 2025,Worth it. Hands down!,"Amazing property from food, staff and infrastructure. Aria at the front desk was lovely, attentive, charismatic and provided us with great service. We also did yoga at the observation deck with Sam and what a great way to start the day. Workout, views, relaxation from above. Simply fantastic. We have no doubts and/or a single hesitation that if we ever find ourselves in singapore again, that this is the place to stay. Unreal! Worth it. Again and again.",5 of 5 bubbles,June 2025,Traveled as a couple,1 contribution,en,Worth it. Hands down!,en,"Amazing property from food, staff and infrastructure. Aria at the front desk was lovely, attentive, charismatic and provided us with great service. We also did yoga at the observation deck with Sam and what a great way to start the day. Workout, views, relaxation from above. Simply fantastic. We have no doubts and/or a single hesitation that if we ever find ourselves in singapore again, that this is the place to stay. Unreal! Worth it. Again and again."
Richmond Ray G,Jun 2025,MBS really made it extra special!,"We had a successful celebration of my Daughter’s Birthday & my son’s Wedding anniversary with his wife.

Very smooth check in proces By Frontdesk Han & Julie. Staffs from poolside are very welcoming and accomodating Aivy, Fai, Miguel and Rose.

Premium services Mark did a god job for the anniversary set up.

We also visited the Celavi and all staffs are also amazing! Receptionist roseann & Manager Aaron really standout.

Overall, every one really went above beyond! We will surely come back to MBS because of this experience!",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,MBS really made it extra special!,en,"We had a successful celebration of my Daughter’s Birthday & my son’s Wedding anniversary with his wife.

Very smooth check in proces By Frontdesk Han & Julie. Staffs from poolside are very welcoming and accomodating Aivy, Fai, Miguel and Rose.

Premium services Mark did a god job for the anniversary set up.

We also visited the Celavi and all staffs are also amazing! Receptionist roseann & Manager Aaron really standout.

Overall, every one really went above beyond! We will surely come back to MBS because of this experience!"
Dionne L,Jun 2025,Don’t be shy about your boobies!!,"As a breast cancer survivor, The left side of my body if often in a lot of pain from various surgeries. Today my therapist released the tension from both sides of my body. I feel amazing!!",5 of 5 bubbles,June 2025,Traveled solo,2 contributions,en,Don’t be shy about your boobies!!,en,"As a breast cancer survivor, The left side of my body if often in a lot of pain from various surgeries. Today my therapist released the tension from both sides of my body. I feel amazing!!"
Fai L,Jun 2025,"We loved Robby Samson's service. Transfer from the airport, shuttle, all services are very satisfied and excellent.","Very warm hospitality. Robby Samson makes us welcome. Service, the hotel looks great! Very pleased! Our airport service is excellent. There is no negligence. Very efficient. Shuttle drivers are also keen to communicate. Tell us a lot of useful information. Robby detailed all hotel information to us.",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,"We loved Robby Samson's service. Transfer from the airport, shuttle, all services are very satisfied and excellent.",en,"Very warm hospitality. Robby Samson makes us welcome. Service, the hotel looks great! Very pleased! Our airport service is excellent. There is no negligence. Very efficient. Shuttle drivers are also keen to communicate. Tell us a lot of useful information. Robby detailed all hotel information to us."
Hazell V,Jun 2025,Excellent Services and premium facilities!,"Had a very nice stay at MDS for our anniversary. It was our first time and the trip was so unforgettable. Thank you to all the staffs who assisted us starting from front desk services Han & Julie.

Special shoutout also to kuya Miguel from pool side who have been very accommodating to us. Also to Aivy and Roseanne.

Thank you also to the Premium services from Mark, Celavi Staffs, Receptionist Ann and Manager Aaron. Till next time!",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,Excellent Services and premium facilities!,en,"Had a very nice stay at MDS for our anniversary. It was our first time and the trip was so unforgettable. Thank you to all the staffs who assisted us starting from front desk services Han & Julie.

Special shoutout also to kuya Miguel from pool side who have been very accommodating to us. Also to Aivy and Roseanne.

Thank you also to the Premium services from Mark, Celavi Staffs, Receptionist Ann and Manager Aaron. Till next time!"
Paul Gerard G,Jun 2025,Best hotel experience ever!,"We celebrated our 4th year wedding anniversary with the family . And thank you for the complimentary cakes and Champagne.. we would like to commend these people for their great job: Frontdesk
Han & julie
And also employees from the poolside...
Miguel, Aivy, Rafael, rose anne
And then there is a Premium service from Mark
And also thank you to the Celavi Staff
Receptionist Ann and Manager Aaron, all in all we had the best times of our lives!",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,Best hotel experience ever!,en,"We celebrated our 4th year wedding anniversary with the family . And thank you for the complimentary cakes and Champagne.. we would like to commend these people for their great job: Frontdesk
Han & julie
And also employees from the poolside...
Miguel, Aivy, Rafael, rose anne
And then there is a Premium service from Mark
And also thank you to the Celavi Staff
Receptionist Ann and Manager Aaron, all in all we had the best times of our lives!"
Relax65882918770,Jun 2025,The gym is a bit far from the hotel room.,"the worker are very friendly and the place is clean. the room I slept in was very comfortable, the mattress and pillows felt soft.",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,The gym is a bit far from the hotel room.,en,"the worker are very friendly and the place is clean. the room I slept in was very comfortable, the mattress and pillows felt soft."
Explore07101835133,Jun 2025,The staff are very friendly and helpful (Uma and Alif),"The pillows soo fluffy and everything is cleann all the staff are very friendly, the place is comfortable, they are quick to respond if anyone needs help",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,The staff are very friendly and helpful (Uma and Alif),en,"The pillows soo fluffy and everything is cleann all the staff are very friendly, the place is comfortable, they are quick to respond if anyone needs help"
Cruiser24719606293,Jun 2025,thank you for Robby,"ROBBY's service is very very good, from the very beginning into the hotel, detailed introduction and careful guide us to understand the facilities of each hotel, so we feel comfortable and attentive, recommended to all friends in Singapore.",5 of 5 bubbles,June 2025,Traveled with family,1 contribution,en,thank you for Robby,en,"ROBBY's service is very very good, from the very beginning into the hotel, detailed introduction and careful guide us to understand the facilities of each hotel, so we feel comfortable and attentive, recommended to all friends in Singapore."
haruru,Jun 2025,You should go at least once.,"If you want to go to this hotel pool with your friends and book, the exact opposite, full-day rain ☂️
Even in the rain, there are restaurants, fancy bars and clubs so you can enjoy it, but I wanted to stay in the weather!
The pool was lovely even in the rain ✨",3 of 5 bubbles,October 2024,Traveled with friends,9 contributions,en,You should go at least once.,en,"If you want to go to this hotel pool with your friends and book, the exact opposite, full-day rain ☂️
Even in the rain, there are restaurants, fancy bars and clubs so you can enjoy it, but I wanted to stay in the weather!
The pool was lovely even in the rain ✨"
Dana D,Jun 2025,Unforgettable Luxury and Exceptional Service!,"Our stay at Marida Bays Sand was nothing short of exceptional! From the moment we arrived, the level of service and attention to detail was superb. KC at reception was absolutely amazing—warm, professional, and genuinely thoughtful. She even surprised me with a birthday cake delivered to our room, which made the experience truly unforgettable.

Chris out porter gave us a personal tour of the room, highlighting all the impressive high-tech features and amenities. The room itself was stunning—modern, spacious, and designed with absolute luxury in mind. The infinity swimming pool was a highlight, offering breathtaking views and the perfect spot to unwind.

What impressed us most was the hotel's commitment to continuous improvement—it’s clear they are always striving to elevate the guest experience. We absolutely loved our stay and would return in a heartbeat. Highly recommended!",5 of 5 bubbles,May 2025,Traveled as a couple,1 contribution,en,Unforgettable Luxury and Exceptional Service!,en,"Our stay at Marida Bays Sand was nothing short of exceptional! From the moment we arrived, the level of service and attention to detail was superb. KC at reception was absolutely amazing—warm, professional, and genuinely thoughtful. She even surprised me with a birthday cake delivered to our room, which made the experience truly unforgettable.

Chris out porter gave us a personal tour of the room, highlighting all the impressive high-tech features and amenities. The room itself was stunning—modern, spacious, and designed with absolute luxury in mind. The infinity swimming pool was a highlight, offering breathtaking views and the perfect spot to unwind.

What impressed us most was the hotel's commitment to continuous improvement—it’s clear they are always striving to elevate the guest experience. We absolutely loved our stay and would return in a heartbeat. Highly recommended!"
NumbBee,Jun 2025,Welcome experience second to none,"We booked a suite and the arrival experience with Erica and Ester has made a GREAaT firat impression. They go to great lengths to take care of all of the details to make the check in process go as smoothly and enjoyable as possible. Just the check in experience alone will make sure we will come back again. Everything about the hotel, the restaurants, the services here were thoroughly explained. We can’t wait to experience it all and since this is our first time in Singapore, the hotel and the welcome staff have already make such a great first impression. Five stars so far just for this!",5 of 5 bubbles,June 2025,Traveled with family,"Denver, Colorado, United States",en,Welcome experience second to none,en,"We booked a suite and the arrival experience with Erica and Ester has made a GREAaT firat impression. They go to great lengths to take care of all of the details to make the check in process go as smoothly and enjoyable as possible. Just the check in experience alone will make sure we will come back again. Everything about the hotel, the restaurants, the services here were thoroughly explained. We can’t wait to experience it all and since this is our first time in Singapore, the hotel and the welcome staff have already make such a great first impression. Five stars so far just for this!"
Hayden G,Jun 2025,My stay at Marina Bay,"My stay at Marina Bay Sands exceeded all expectations. Every staff member I encountered was professional, attentive, and genuinely committed to ensuring guests have a memorable experience. I noticed a special attention to every single detail in the room ensuring it was clean and perfect.

I want to give special recognition to Lucy in the fitness center, who went above and beyond. Her friendly demeanor, helpful guidance, and attention to detail truly stood out and made each visit to the fitness facilities a highlight of my stay.

The combination of world-class amenities and dedicated staff makes Marina Bay Sands a standout destination. I would highly recommend this hotel to anyone visiting Singapore.",5 of 5 bubbles,May 2025,Traveled on business,1 contribution,en,My stay at Marina Bay,en,"My stay at Marina Bay Sands exceeded all expectations. Every staff member I encountered was professional, attentive, and genuinely committed to ensuring guests have a memorable experience. I noticed a special attention to every single detail in the room ensuring it was clean and perfect.

I want to give special recognition to Lucy in the fitness center, who went above and beyond. Her friendly demeanor, helpful guidance, and attention to detail truly stood out and made each visit to the fitness facilities a highlight of my stay.

The combination of world-class amenities and dedicated staff makes Marina Bay Sands a standout destination. I would highly recommend this hotel to anyone visiting Singapore."
TravelBlonde,Jun 2025,What a place!,"What an amazing stay at Marina Bay Sands! I would like to say a huge thank you to Marina Bay for the incredible stay we have just had with them. We were only in Singapore for a couple of days and thought we’d spend a night at this amazing hotel. My friend and I arrived to check in to our twin room only to be told they had upgraded us to a suite free of charge!! We are eternally grateful, it really made our stay amazing, we loved every second of it. What a room!! Complete with Karaoke station…which of course we took full advantage of!!
Hotel Impeccable
Staff Outstanding
Room Service Delicious
Roof Top Pool Amazing
Views Second to None

We will definitely be returning here. Thank you so much again, our dreams were made ☺️",5 of 5 bubbles,June 2025,Traveled with friends,25 contributions,en,What a place!,en,"What an amazing stay at Marina Bay Sands! I would like to say a huge thank you to Marina Bay for the incredible stay we have just had with them. We were only in Singapore for a couple of days and thought we’d spend a night at this amazing hotel. My friend and I arrived to check in to our twin room only to be told they had upgraded us to a suite free of charge!! We are eternally grateful, it really made our stay amazing, we loved every second of it. What a room!! Complete with Karaoke station…which of course we took full advantage of!!
Hotel Impeccable
Staff Outstanding
Room Service Delicious
Roof Top Pool Amazing
Views Second to None

We will definitely be returning here. Thank you so much again, our dreams were made ☺️"
Simão C,Jun 2025,Thanks!,"Everyone here is very careful with the details, they know what they're doing.
Thanks to the infinite pool team, they were really impeccable with us.

I hope to come back here one day later and review this type of treatment again!
Thank you and see you soon!",5 of 5 bubbles,June 2025,Traveled as a couple,3 contributions,en,Thanks!,en,"Everyone here is very careful with the details, they know what they're doing.
Thanks to the infinite pool team, they were really impeccable with us.

I hope to come back here one day later and review this type of treatment again!
Thank you and see you soon!"
jadewkm,Jun 2025,Mixed but o really good experience,"MBS Review
Top marks to welcome team (seamless transfer of luggage from taxi to luggage hold and then onto the rooms). Also very happy with room design ( thoughtfully laid out) though being on 3rd floor, balcony is noisy and showed road view rather than any garden by the bay view. For the price (over $32k), I would expect a quiet balcony with magnificent views.

Staff service is a mixed of helpful and indifferent. Not impressed by front desk and concierge, while Housekeeping is great, as are in-room dining, gift shop staff and limo service. Special mention of spa team -Yaneli , Lisa and Enita who provided excellent and friendly treatment. Also sky deck activities such as yoga and sound meditation were great though 2 classes were cancelled last minute due to lack of alternative arrangement during inclement weather.

Stay marred by drinking glass breaking in my 3 year old grandson's mouth in Rise restaurant during breakfast, staff were quick to act though.
In addition, the stay did not end on a happy note as my departure was held back by an unjustified demand for extra charge ( breakfast for the little ones).

Nevertheless overall experience is good.",4 of 5 bubbles,June 2025,Traveled with family,London,en,Mixed but o really good experience,en,"MBS Review
Top marks to welcome team (seamless transfer of luggage from taxi to luggage hold and then onto the rooms). Also very happy with room design ( thoughtfully laid out) though being on 3rd floor, balcony is noisy and showed road view rather than any garden by the bay view. For the price (over $32k), I would expect a quiet balcony with magnificent views.

Staff service is a mixed of helpful and indifferent. Not impressed by front desk and concierge, while Housekeeping is great, as are in-room dining, gift shop staff and limo service. Special mention of spa team -Yaneli , Lisa and Enita who provided excellent and friendly treatment. Also sky deck activities such as yoga and sound meditation were great though 2 classes were cancelled last minute due to lack of alternative arrangement during inclement weather.

Stay marred by drinking glass breaking in my 3 year old grandson's mouth in Rise restaurant during breakfast, staff were quick to act though.
In addition, the stay did not end on a happy note as my departure was held back by an unjustified demand for extra charge ( breakfast for the little ones).

Nevertheless overall experience is good."
Climber01275822037,Jun 2025,Sweetest experience for my anniversary,"Went to the rooftop pool for a swim with my partner as it was our anniversary. Ordered some snacks at the poolside bar and met a kind waiter there, his name is Ravi. Casually mentioned that it was our anni during small talk but didn't think much of it. Ravi came back later on and surprised us with 2 delicious drinks and the sweetest handwritten note that congratulated us on our celebration. It made my partner and I's night. Thank you Ravi for being the cherry ontop to our rooftop pool experience.",5 of 5 bubbles,May 2025,Traveled as a couple,1 contribution,en,Sweetest experience for my anniversary,en,"Went to the rooftop pool for a swim with my partner as it was our anniversary. Ordered some snacks at the poolside bar and met a kind waiter there, his name is Ravi. Casually mentioned that it was our anni during small talk but didn't think much of it. Ravi came back later on and surprised us with 2 delicious drinks and the sweetest handwritten note that congratulated us on our celebration. It made my partner and I's night. Thank you Ravi for being the cherry ontop to our rooftop pool experience."
Explorer50122925951,Jun 2025,Morning Yoga,"We have loved our stay here - and we loved doing morning yoga with Sam at the observation deck!! What a great way to start the day and see the beautiful view! Make sure you ask the front desk about signing up, they have different classes every morning.",5 of 5 bubbles,June 2025,Traveled as a couple,1 contribution,en,Morning Yoga,en,"We have loved our stay here - and we loved doing morning yoga with Sam at the observation deck!! What a great way to start the day and see the beautiful view! Make sure you ask the front desk about signing up, they have different classes every morning."
Bubade,Jun 2025,Amazing Stay in MBS,"We have had a great time in MBS with my family. From the beginning to the very end, everything was great. The hotel and staff make sure you have the best time during your stay. The facility is amazing with the 57th floor being the best, and the room (family suite) was very nice, with the separate kids room and spacious living area + bedroom. All of the staff was very nice and kind, but Mico King from Guest services and of course our premium services contact Eunice Marasigan were really amazing. Eunice has got us energized from the moment we arrived to the hotel till the end. She was very helpful and also very good with our kids. The hotel is lucky to have her. The experience we had, definitely makes us want to go back again",5 of 5 bubbles,June 2025,Traveled with family,"Dubai, United Arab Emirates",en,Amazing Stay in MBS,en,"We have had a great time in MBS with my family. From the beginning to the very end, everything was great. The hotel and staff make sure you have the best time during your stay. The facility is amazing with the 57th floor being the best, and the room (family suite) was very nice, with the separate kids room and spacious living area + bedroom. All of the staff was very nice and kind, but Mico King from Guest services and of course our premium services contact Eunice Marasigan were really amazing. Eunice has got us energized from the moment we arrived to the hotel till the end. She was very helpful and also very good with our kids. The hotel is lucky to have her. The experience we had, definitely makes us want to go back again"
peter o,Jun 2025,six star,"Wonderful hotel, we stayed in a club room on the 18th floor of tower 3, our stay was faultless from the time we were picked up by the hotel transfer to the time we got dropped off at the airport by the transfer service.
The room was an absolute delight with wonderful views over the gardens and out to sea, we could not fault the suite which was very well set up with separate bedroom, powder room with his and hers vanities, separate ladies powder room, walk in wardrobe and very generous shower and lovely large bath. Super comfortable bed and pillow selection, generous lounge furniture and dining area, lovely bathroom condiments. We believe the suites have recently been refurbished and are in excellent condition. From the time we arrived at the hotel to be greeted by our personal check in host to the time to leave with the same service, I'm sure this must be the best hotel in Singapore...don't think about it book in!!",5 of 5 bubbles,June 2025,Traveled as a couple,London,en,six star,en,"Wonderful hotel, we stayed in a club room on the 18th floor of tower 3, our stay was faultless from the time we were picked up by the hotel transfer to the time we got dropped off at the airport by the transfer service.
The room was an absolute delight with wonderful views over the gardens and out to sea, we could not fault the suite which was very well set up with separate bedroom, powder room with his and hers vanities, separate ladies powder room, walk in wardrobe and very generous shower and lovely large bath. Super comfortable bed and pillow selection, generous lounge furniture and dining area, lovely bathroom condiments. We believe the suites have recently been refurbished and are in excellent condition. From the time we arrived at the hotel to be greeted by our personal check in host to the time to leave with the same service, I'm sure this must be the best hotel in Singapore...don't think about it book in!!"
Jennifer,Jun 2025,The culmination of luxury,"The Marina Bay Sands epitomises luxury in Singapore. Upon arrival, I was warmly assisted by staff who efficiently handled my luggage and facilitated a seamless check-in process. My room offered breathtaking views of Marina Bay and was conveniently located near major attractions, dining, and shopping, all accessible on foot. I also enjoyed additional access to the infinity pool and restaurants at the summit of the Marina. Having stayed in several hotels in Singapore, none have matched the unparalleled luxury of Marina Bay Sands.",5 of 5 bubbles,May 2025,Traveled solo,"Singapore, Singapore",en,The culmination of luxury,en,"The Marina Bay Sands epitomises luxury in Singapore. Upon arrival, I was warmly assisted by staff who efficiently handled my luggage and facilitated a seamless check-in process. My room offered breathtaking views of Marina Bay and was conveniently located near major attractions, dining, and shopping, all accessible on foot. I also enjoyed additional access to the infinity pool and restaurants at the summit of the Marina. Having stayed in several hotels in Singapore, none have matched the unparalleled luxury of Marina Bay Sands."
stathisevia,Jun 2025,Unique point stay experience and view!!,"The hotel impresses you at first sight... Unique modern facilities, all rooms comfortable, all carefully clean, the staff friendly and polite to serve you when you need it. The pool on the top floor huge with views to the city in the park and the sea. Staying in this hotel is an experience, and it is worth the five stars and even more!!!",5 of 5 bubbles,May 2025,Traveled with family,Greece,en,Unique point stay experience and view!!,en,"The hotel impresses you at first sight... Unique modern facilities, all rooms comfortable, all carefully clean, the staff friendly and polite to serve you when you need it. The pool on the top floor huge with views to the city in the park and the sea. Staying in this hotel is an experience, and it is worth the five stars and even more!!!"
Pierce F,Jun 2025,Easily the best experience my family have had whilst on holiday!,"Easily the best experience my family have had whilst on holiday! A new bench mark has been set!!! I would give Marina Bay Sands 10 stars if I could. Everything was just perfect. The team members at check in were lovely and made everything so easy. My luck with rooms is terrible, it doesn't matter what I pay I get the car park view. Not this time with no special request from us, we received a beautiful view of the gardens by the bay and could watch the light show every night. We even received a personal guide on arrival and departure that helped us settle in and get on our way which was amazing when travelling with a newborn and a 4 year old. The room has all the amenities you could ever need, drinks for the adults to snacks for the kiddies. So much thought has been put into all the little things you may need as a family on holiday, felt like we had more than we needed and all those things we forget they had. All the staff were fantastic and the food was incredible. Breakfast buffet had plenty to choose from and the dinner buffet was the best my wife and I have ever experienced. There is nothing I can fault and you won't be disappointed if you stay. No need to even bring any toiletries or a pool towel, the quality from toothbrush to the staff waiting at the pool with a towel and water bottle were just superb. We will definitely be back.",5 of 5 bubbles,April 2025,Traveled with family,1 contribution,en,Easily the best experience my family have had whilst on holiday!,en,"Easily the best experience my family have had whilst on holiday! A new bench mark has been set!!! I would give Marina Bay Sands 10 stars if I could. Everything was just perfect. The team members at check in were lovely and made everything so easy. My luck with rooms is terrible, it doesn't matter what I pay I get the car park view. Not this time with no special request from us, we received a beautiful view of the gardens by the bay and could watch the light show every night. We even received a personal guide on arrival and departure that helped us settle in and get on our way which was amazing when travelling with a newborn and a 4 year old. The room has all the amenities you could ever need, drinks for the adults to snacks for the kiddies. So much thought has been put into all the little things you may need as a family on holiday, felt like we had more than we needed and all those things we forget they had. All the staff were fantastic and the food was incredible. Breakfast buffet had plenty to choose from and the dinner buffet was the best my wife and I have ever experienced. There is nothing I can fault and you won't be disappointed if you stay. No need to even bring any toiletries or a pool towel, the quality from toothbrush to the staff waiting at the pool with a towel and water bottle were just superb. We will definitely be back."
